PT KMU VENDOR REGISTRATION FORM - EXCEL TEMPLATE
Version 1.0
Created: 2025-06-04

INSTRUCTIONS FOR VENDORS:
1. Download this Excel file
2. Fill in ALL fields marked with * (Required)
3. Save file with your company name: "VENDOR_REGISTRATION_[YourCompanyName].xlsx"
4. Email to: vendor-registration@kmu.co.id
5. Keep a copy for your records

IT IMPORT INSTRUCTIONS:
- Each row represents one field
- Field Name column = database column name
- Field Value column = data entered by vendor
- Type column = data type for validation
- Required column = if mandatory field

---

SECTION 1: COMPANY INFORMATION
* = Required field

Field Name,Field Label,Field Type,Required,Field Value,Database Column
company_name,Company Name *,TEXT,YES,,vendors.company_name
company_name_short,Company Short Name,TEXT,NO,,vendors.company_name_short
business_license_number,Business License (SIU) *,TEXT,YES,,vendors.sio
tax_id_npwp,Tax ID (NPWP) *,TEXT,YES,,vendors.npwp
company_registration_date,Company Registration Date *,DATE,YES,,vendors.registration_date
years_in_business,Years in Business *,NUMBER,YES,,calculated_field
annual_revenue_last_year,Annual Revenue Last Year (IDR) *,NUMBER,YES,,vendors.metadata.annual_revenue

SECTION 2: VENDOR TYPE & CATEGORY
vendor_type,Vendor Type (Barang/Jasa) *,DROPDOWN,YES,,vendors.vendor_type
vendor_category,Vendor Category *,DROPDOWN,YES,,vendors.vendor_category
primary_service_type,Primary Service Type *,TEXT,YES,,vendors.metadata.primary_service
secondary_service_types,Secondary Service Types,TEXT,NO,,vendors.metadata.secondary_services

SECTION 3: CONTACT INFORMATION
phone_main,Main Phone *,TEXT,YES,,vendors.phone
phone_mobile,Mobile Phone *,TEXT,YES,,vendors.metadata.phone_mobile
email_company,Company Email *,EMAIL,YES,,vendors.email
website,Website,URL,NO,,vendors.website
office_address_street,Office Street Address *,TEXT,YES,,vendors.address_street
office_address_city,Office City *,DROPDOWN,YES,,vendors.address_city
office_address_province,Office Province *,TEXT,YES,,vendors.address_province
office_address_postal_code,Office Postal Code *,TEXT,YES,,vendors.address_postal_code

SECTION 4: KEY CONTACT PERSON
contact_person_name,Contact Person Name *,TEXT,YES,,vendors.contact_person_name
contact_person_title,Contact Person Title *,TEXT,YES,,vendors.contact_person_title
contact_person_phone,Contact Person Phone *,TEXT,YES,,vendors.contact_person_phone
contact_person_email,Contact Person Email *,EMAIL,YES,,vendors.contact_person_email

SECTION 5: BANKING INFORMATION
bank_name,Bank Name *,TEXT,YES,,vendors.bank_name
bank_account_number,Bank Account Number *,TEXT,YES,,vendors.bank_account_number
bank_account_holder,Bank Account Holder *,TEXT,YES,,vendors.bank_account_holder
